,username,tweet,retweet,favorites
56,Alif Tunggul Wulung,"b'RT @TheArieAir: Akibat kontrasnya program"" Anies harus bongkar seluruh program"" gubernur sebelumnya\n\nTentu program"" ASAL BEDA tsb merupakan\xe2\x80\xa6'",4,0
57,Rizmaya,b'RT @HunterJagar: Barang rongsok mau dipoles kayak apa saja tetap tak laku dan tidak ada nilai jual\n\nJenderal rasa kopral\nhttps://t.co/YuuKv\xe2\x80\xa6',27,0
58,atree,"b'RT @BERKARYA_NET: Sudah loe jawab sendiri. Kalau parpol ""mati suri,"" terus kalian PUBG, gitu?! Agen of change kok nunggu, dari twit loe adj\xe2\x80\xa6'",28,0
59,UtaraKutubPanas🏴,"b'RT @BERKARYA_NET: Sudah loe jawab sendiri. Kalau parpol ""mati suri,"" terus kalian PUBG, gitu?! Agen of change kok nunggu, dari twit loe adj\xe2\x80\xa6'",28,0
60,ellephantz_dip,"b'RT @BERKARYA_NET: Sudah loe jawab sendiri. Kalau parpol ""mati suri,"" terus kalian PUBG, gitu?! Agen of change kok nunggu, dari twit loe adj\xe2\x80\xa6'",28,0
61,Kabar Indonesia,"b""Gelap Gulita Parpol 'Tembak' Gatot Nurmantyo untuk Pilpres 2024\n\nhttps://t.co/juDpMiKjtC""",0,0
62,WebStation : Indonesia News,"b""https://t.co/8PikPbNvLg Gelap Gulita Parpol 'Tembak' Gatot Nurmantyo untuk Pilpres 2024 - detikNews https://t.co/TonwprSz8h https://t.co/MY5g1ZHG1o""",0,0
63,Kareem A,"b'RT @BERKARYA_NET: Sudah loe jawab sendiri. Kalau parpol ""mati suri,"" terus kalian PUBG, gitu?! Agen of change kok nunggu, dari twit loe adj\xe2\x80\xa6'",28,0
64,Koqq Brutt,b'RT @tjeeeloup: Yan setuju PARPOL turun ke jalan.\n\nRETWEET \xf0\x9f\x94\x82.\n\n#ParpolMatiSuri',21,0
65,NB_Putra,b'@Namaku_Mei \xf0\x9f\x98\x80\xf0\x9f\x98\x80\xf0\x9f\x98\x80\xf0\x9f\x98\x80\xf0\x9f\x98\x80\xf0\x9f\x98\x80 pedenya. Dia ga sadar kalau setiap  parpol ada 3-4 orang yg mau mencalonkan diri.',0,1
66,Gat Shemanim,b'RT @Pai_Ci: Cieer..cieeee...\nLagi mesrah2nyaaaaa...\n...\nKira2 mreka ngemeng apaan ya??\nhttps://t.co/pDkufz3zNw',34,0
67,luhungWONGTANI🇮🇩🇵🇸,"b'RT @abu_waras: Jika di Pilpres 2024 ada 3 Pasangan Calon, dengan komposisi pasangan seperti ini, siapa yang akan anda pilih? \n\n*Bantu  RT a\xe2\x80\xa6'",217,0
68,AmeL Koto,b'RT @tjeeeloup: Yan setuju PARPOL turun ke jalan.\n\nRETWEET \xf0\x9f\x94\x82.\n\n#ParpolMatiSuri',21,0
69,adwibasuki,b'@Amal_Alghozali 2024 ganti parpol pilihan\n#2024gantiparpolpilihan',0,0
70,EdwarFeggy,"b'RT @tjeeeloup: Mahasiswa.\n\nSebagai Agent Of Change, Oke Deal...!\n\nKalau DPR dan Parpol jadi Agent Of... apa?\n\nGiliran Mahasiswa dpt masalah\xe2\x80\xa6'",5,0
71,ze,b'RT @Dirwan_Rosdi: @Hendra70840212 @BERKARYA_NET Emangnya ada yg maksa #MahasiswaMatiSuri  untuk berdemo yah ? \nini khan cuma nyampein aja k\xe2\x80\xa6',2,0
72,Mangomo,"b'@yusuf_dumdum @Yos5Ku Bohir bingung, parpol blon ada yg lirik anies dan ridwan, sekarang anies malah berisik ngelawan wakilnya dari gerindra, ridwan makin ditinggal warga jabar karena c-19 meningkat drastis, ya safari sajalah terus, anies siap2lah kpk baru mulai ngendus.'",0,1
73,αรɦαҡµҡαcɦเ∂α,"b'RT @BERKARYA_NET: Sudah loe jawab sendiri. Kalau parpol ""mati suri,"" terus kalian PUBG, gitu?! Agen of change kok nunggu, dari twit loe adj\xe2\x80\xa6'",28,0
74,Oedjang Moekartho,b'RT @HunterJagar: Barang rongsok mau dipoles kayak apa saja tetap tak laku dan tidak ada nilai jual\n\nJenderal rasa kopral\nhttps://t.co/YuuKv\xe2\x80\xa6',27,0
75,Abdulla3÷,"b'RT @BERKARYA_NET: Sudah loe jawab sendiri. Kalau parpol ""mati suri,"" terus kalian PUBG, gitu?! Agen of change kok nunggu, dari twit loe adj\xe2\x80\xa6'",28,0
76,Lukman Adham,"b'@Cintada16 @Candraasmara85 Maaf nih @aniesbaswedan, gw lagi sibuk, urus naikin citra gw buat 2024, siapa tahu ada parpol yg mau gandeng,, Covid ya biariin saja, toh akan sembuh sendiri, biar Wakil gw saja yg urus, gmn Bro AB, tul ya,'",0,2
77,IBNADM,"b'@ocee_me08 Gini aja orang nyebut ISIS itu Salafi Jihadi padahal gak ada istilah Salafi Jihadi dan ISIS bukanlah Salafi \nMedia buat narasi seolah Salafi itu ada banyak golongan nya\n""Salafi Jihadi"" ""Salafi Parpol"" dll\nPadahal Salafi itu satu'",0,0
78,IBNADM,"b'@ocee_me08 Loh kok protesnya ke ane\nane kan gak pro Salafi join Parpol\nSyaikh Hasan Halabi\n""Kami sampaikan, bhw sebagian orang yang mengaku Salafi itu membentuk partai politik dengan mengklaim diri sebagai orang Salafi. Padahal mereka tidak merepresentasikan Salafi,tapi diri mereka sendiri""'",0,0
79,A-ang,b'Klo anis itu gubernur paling goblok sepanjang sejarah.\nKlo yg ini jenderal paling goblok sepanjang sejarah. \xf0\x9f\x98\x84\nhttps://t.co/8IxJZScehi',0,0
80,A-ang,b'RT @HunterJagar: Barang rongsok mau dipoles kayak apa saja tetap tak laku dan tidak ada nilai jual\n\nJenderal rasa kopral\nhttps://t.co/YuuKv\xe2\x80\xa6',27,0
81,Putra Majapahit,b'RT @HunterJagar: Barang rongsok mau dipoles kayak apa saja tetap tak laku dan tidak ada nilai jual\n\nJenderal rasa kopral\nhttps://t.co/YuuKv\xe2\x80\xa6',27,0
82,Nursha,"b'RT @tjeeeloup: Mahasiswa.\n\nSebagai Agent Of Change, Oke Deal...!\n\nKalau DPR dan Parpol jadi Agent Of... apa?\n\nGiliran Mahasiswa dpt masalah\xe2\x80\xa6'",5,0
83,Lazkars,b'@Hendra70840212 @BERKARYA_NET Coba sebutin parpol yang sekarang murni oposisi... Trus coba dihitung kalau tuh partai ambil posisi menolak semua kebijakan yang tidak Pro rakyat menang ga?',0,0
84,manusia biasa,b'Army kalo jadi ormas/parpol powerful bgt dah https://t.co/lZnThqKvxC',0,0
85,Ide2nesia,"b'@Vindyarto80 Cara memberantas preman kebijakan adalah dgn pembenahan partai politik, pak\n\nSilahkan baca artikel ini :\n\nhttps://t.co/lO5b5uydo2\n\n\xf0\x9f\x99\x8f\nhttps://t.co/kSoDnmcGAa'",1,1
86,Budi Wiranegara,b'@yudi_lek Jarang lho lek....motor dicat kuning...?\n\nApa ada pesan sponsor dari parpol...?? https://t.co/jxwBd6xZYX',0,3
87,Ide2nesia,"b'@Vindyarto80 Mau pemerintah Indonesia menjadi baik ?\n\nMari kita suarakan ""Pembenahan Parpol"", karena ""Pembenahan Parpol"" adalah satu2nya jalan untuk perbaiki pemerintah &amp; bawa kesejahteraan bagi rakyat Indonesia\n\nSilahkan baca artikel ini :\n\nhttps://t.co/lO5b5uydo2\n\n\xf0\x9f\x99\x8f\nhttps://t.co/kSoDnmcGAa'",0,1
88,Pisau Bedah,b'RT @dwiki_dharmawan: Yth para anggota DPR RI dan Elite Parpol Mari kita tunjukkan komitmen kebangsaan yang tinggi dengan bersatu menolak pe\xe2\x80\xa6',1,0
89,kucinghitam,"b'RT @BERKARYA_NET: Sudah loe jawab sendiri. Kalau parpol ""mati suri,"" terus kalian PUBG, gitu?! Agen of change kok nunggu, dari twit loe adj\xe2\x80\xa6'",28,0
90,#MenangMelawanKetololan,"b'RT @BERKARYA_NET: Sudah loe jawab sendiri. Kalau parpol ""mati suri,"" terus kalian PUBG, gitu?! Agen of change kok nunggu, dari twit loe adj\xe2\x80\xa6'",28,0
91,Kaldu Bantal,"b'@Hendra70840212 @tjeeeloup @BERKARYA_NET Parpol adalah perwakilan rakyat di bidang politik/DPR dan mereka telah membuktikan dgn penolakan dan suara keras di DPR meski mereka di tekan Krn kalah suara,\nParpol telah berkali-kali bersuara,\nSkr tinggal yg katanya agen kontrol yg mewakili rakyat,gak ada tuh suaranya!!!'",0,0
92,ellephantz_dip,b'RT @Dirwan_Rosdi: @Hendra70840212 @BERKARYA_NET Emangnya ada yg maksa #MahasiswaMatiSuri  untuk berdemo yah ? \nini khan cuma nyampein aja k\xe2\x80\xa6',2,0
93,IBNADM,b'@dinoredfield @ocee_me08 @didi_ng @Ozy_MoTo Buat parpol = utk memberontak? \nIni Logika dangkal \nToh Ulama Salafi yg membolehkan join parpol ini niatnya buat melawan ketertindasan yg dilakukan orang Kufar di negara barat melawan Islamophobia jalur parlemen itu loh poin alasannya \nCek web ini \nhttps://t.co/Y04rpEzsh4',0,0
94,"abdul hanif, AJ","b'RT @tjeeeloup: Mahasiswa.\n\nSebagai Agent Of Change, Oke Deal...!\n\nKalau DPR dan Parpol jadi Agent Of... apa?\n\nGiliran Mahasiswa dpt masalah\xe2\x80\xa6'",5,0
95,Eko Kusumawijaya,"b'RT @tjeeeloup: Mahasiswa.\n\nSebagai Agent Of Change, Oke Deal...!\n\nKalau DPR dan Parpol jadi Agent Of... apa?\n\nGiliran Mahasiswa dpt masalah\xe2\x80\xa6'",5,0
96,🇮🇩💙AlU🇮🇩 || Follback 💯%NKRI ||,b'RT @SantorinisSun: Kenyataan pahit seringkali dialami oleh seorg yg kapasitas sebenarnya cuma sebatas pion!\nDibutuhkan utk maju paling dpn\xe2\x80\xa6',26,0
97,Dian Agustin sastra,b'RT @HunterJagar: Barang rongsok mau dipoles kayak apa saja tetap tak laku dan tidak ada nilai jual\n\nJenderal rasa kopral\nhttps://t.co/YuuKv\xe2\x80\xa6',27,0
98,Irvan Gani,"b'RT @tjeeeloup: Mahasiswa.\n\nSebagai Agent Of Change, Oke Deal...!\n\nKalau DPR dan Parpol jadi Agent Of... apa?\n\nGiliran Mahasiswa dpt masalah\xe2\x80\xa6'",5,0
99,TheLastPatriot,"b'RT @BERKARYA_NET: Sudah loe jawab sendiri. Kalau parpol ""mati suri,"" terus kalian PUBG, gitu?! Agen of change kok nunggu, dari twit loe adj\xe2\x80\xa6'",28,0
100,TJELOUP ™,"b'Mahasiswa.\n\nSebagai Agent Of Change, Oke Deal...!\n\nKalau DPR dan Parpol jadi Agent Of... apa?\n\nGiliran Mahasiswa dpt masalah di kampus dan dilapangan bantuan apa yg bisa kamu berikan ke mereka?\n\nHestek juga?\n\nBerat Borr jd mahasiswa, diam dibully gerak dimanfaatin.'",5,16
101,Kawatkuat,b'@tjeeeloup Demo ini pas yang jadi presiden dari parpol pak SBY?',0,0
102,IBNADM,b'@didi_ng @ocee_me08 @Ozy_MoTo Ada Ulama Salafi yg melarang Nyoblos\nAda pula yg membolehkan\nAda Ulama Salafi yg melarang nyanyi lagu kebangsaan dan hormat bendera ada yg membolehkan\nSama dalam hal Parpol ada yg melarang ada yg membolehkan\ntapi ane ikut ke pendapat yg tidak boleh \nhttps://t.co/0dlsrzBFy8',0,0
